RecordCode,LocationCode,RateType,OpeningRate,MiddayRate,ClosingRate,AverageRate,StandardRate,ChecksumOrFiller
D,0030322F,D0,10.0,0.1,0.001,999.99999,99.99999,
D,0038402M,D0,10504.87,105.0487,1.05048,70000999.99999,99.99999,
D,0088402M,D0,925.7,9.2875,0.09318,999.99999,99.99999,
D,0128402M,D0,1333.10803,30000013.34977,0.13368,45967999.99999,99.99999,
D,0328402M,D0,9985.0,99.875,0.999,999.99999,99.99999,
D,0368262F,D0,19.555,0.19595,0.00196,35000999.99999,99.99999,
D,0368402M,D0,15.38462,0.15443,5000000.00155,1470999.99999,99.99999,
D,0369782F,D0,16.253,0.16293,50000000.00163,34000999.99999,99.99999,
D,0448402M,D0,10.0,0.1,0.001,999.99999,99.99999,
D,0488403M,D0,3.7608,0.03765,60000000.00037,70400999.99999,99.99999,
D,0508402M,D0,1190.0,11.95,0.12,999.99999,99.99999,
D,0518402M,D0,3860.6004,38.664,0.38721,99600999.99999,99.99999,
D,0528402M,D0,19.9,0.199,0.00199,999.99999,99.99999,
D,0608402M,D0,10.0,0.1,0.001,999.99999,99.99999,
D,0643562F,D0,10.0,0.1,0.001,999.99999,99.99999,
D,0648402M,D0,844.46,8.44735,0.0845,10000999.99999,99.99999,
D,0688402M,D0,68.6,0.686,0.00686,999.99999,99.99999,
D,0728402M,D0,136.90256,70000001.3708,77100000.01372,58976999.99999,99.99999,
D,0848402M,D0,20.0,0.2,0.002,999.99999,99.99999,
D,0908402M,D0,80.64516,20000000.81069,98800000.00814,94815999.99999,99.99999,
D,0967022F,D0,10.0,0.1,0.001,999.99999,99.99999,
D,0968402M,D0,13.412,0.13452,50000000.00134,93000999.99999,99.99999,
D,1048402M,D0,35830.0,358.3,3.583,999.99999,99.99999,
D,1088400M,D0,29485.705,295.3,2.95742,95000999.99999,99.99999,
D,1168402M,D0,40343.44,404.0,4.04565,60000999.99999,99.99999,
D,1240362F,D0,9.056,0.09076,0.0009,96000999.99999,99.99999,
D,1248262F,D0,17.699,0.17769,50000000.00178,40000999.99999,99.99999,
D,1248402M,D0,13.973,0.14005,50000000.0014,38000999.99999,99.99999,
D,1249782F,D0,14.711,0.14774,0.00148,37000999.99999,99.99999,
D,1328402M,D0,1042.0,10.46271,3000000.10505,42070999.99999,99.99999,
D,1329782F,D0,1102.65,11.0265,0.11026,50000999.99999,99.99999,
D,1368402M,D0,8.33333,0.08333,33000000.00083,33330999.99999,99.99999,
D,1448402M,D0,2921.0,29.215,0.2922,999.99999,99.99999,
D,1528400M,D0,9723.2,97.766,0.983,999.99999,99.99999,
D,1568402M,D0,72.271,0.72272,0.00722,73000999.99999,99.99999,
D,1578402M,D0,72.50637,0.72514,50000000.00725,22630999.99999,99.99999,
D,1588402M,D0,71.24634,0.71246,34000000.00712,46340999.99999,99.99999,
D,1708402M,D0,44782.1,447.821,4.47821,999.99999,99.99999,
D,1741320F,D0,44.61685,0.44616,85000000.00446,16850999.99999,99.99999,
D,1748400M,D0,4653.6,46.70394,15000000.46871,88300999.99999,99.99999,
D,1749780F,D0,4919.6775,49.19677,50000000.49196,77500999.99999,99.99999,
D,1888402M,D0,5058.4,50.987,0.5139,999.99999,99.99999,
D,1928402M,D0,240.0,2.4,0.024,999.99999,99.99999,
D,2038402M,D0,238.89,2.40055,0.02412,20000999.99999,99.99999,
D,2039782F,D0,252.54,2.52945,0.02533,50000999.99999,99.99999,
D,2088262F,D0,89.586,0.8974,0.00898,94000999.99999,99.99999,
D,2088402M,D0,70.478,0.70774,50000000.0071,71000999.99999,99.99999,
D,2089782F,D0,74.567,0.7459,0.00746,13000999.99999,99.99999,
D,2148402M,D0,600.2827,90000006.00432,85400000.06005,83000999.99999,99.99999,
D,2228402M,D0,87.5,0.875,0.00875,999.99999,99.99999,
D,2308402M,D0,1211.036,12.36036,0.1261,36000999.99999,99.99999,
D,2388262F,D0,10.0,0.1,0.001,999.99999,99.99999,
D,2388402M,D0,7.85917,0.07889,35000000.00079,19530999.99999,99.99999,
D,2428402M,D0,22.35636,10000000.22386,38900000.00224,16417999.99999,99.99999,
D,2628400M,D0,1775.5,17.76,0.17765,999.99999,99.99999,
D,2708402M,D0,688.4,6.884,0.06884,999.99999,99.99999,
D,2928262F,D0,10.0,0.1,0.001,999.99999,99.99999,
D,2928402M,D0,7.85917,0.07889,35000000.00079,19530999.99999,99.99999,
D,3208402M,D0,77.13,0.7723,0.00773,30000999.99999,99.99999,
D,3248400M,D0,85520.0,855.3483,8.55496,60000999.99999,99.99999,
D,3288402M,D0,2089.01177,50000020.9215,0.20952,88225999.99999,99.99999,
D,3328402M,D0,1319.182,13.19182,0.13191,82000999.99999,99.99999,
D,3408402M,D0,252.18744,30000002.52541,0.02528,94557999.99999,99.99999,
D,3448402M,D0,77.79,0.77818,0.00778,46000999.99999,99.99999,
D,3449782F,D0,81.693,0.82032,50000000.00823,72000999.99999,99.99999,
D,3488402M,D0,3835.1,38.643,0.38935,999.99999,99.99999,
D,3528400M,D0,1389.0,13.89,0.1389,999.99999,99.99999,
D,3568402M,D0,843.77,8.44445,0.08451,20000999.99999,99.99999,
D,3608402M,D0,157950.0,1584.5,15.895,999.99999,99.99999,
D,3688403M,D0,13100.0,131.0,1.31,999.99999,99.99999,
D,3768402M,D0,37.224,0.37456,50000000.00376,89000999.99999,99.99999,
D,3888402M,D0,1586.41729,70000015.86814,0.15872,10703999.99999,99.99999,
D,3920360F,D0,1006.8,10.0945,0.10121,999.99999,99.99999,
D,3923440F,D0,199.465,2.00115,50000000.02007,66000999.99999,99.99999,
D,3928400M,D0,1552.1,15.5745,0.15628,999.99999,99.99999,
D,3929780F,D0,1638.0,16.441,0.16502,999.99999,99.99999,
D,3988402M,D0,4950.0,49.5375,0.49575,999.99999,99.99999,
D,4008403M,D0,7.07865,60000000.0709,0.00071,1344999.99999,99.99999,
D,4048402M,D0,1287.5,12.925,0.12975,999.99999,99.99999,
D,4108400M,D0,13995.4,140.01724,41000001.4008,48830999.99999,99.99999,
D,4148403M,D0,3.0709,30000000.03074,90000000.0003,78897999.99999,99.99999,
D,4178402M,D0,863.765,8.63765,0.08637,65000999.99999,99.99999,
D,4188402M,D0,218880.0,2196.85,22.049,999.99999,99.99999,
D,4228402M,D0,895000.0,8950.0,89.5,999.99999,99.99999,
D,4267102F,D0,10.0,0.1,0.001,999.99999,99.99999,
D,4268402M,D0,181.523,1.82741,50000000.01839,60000999.99999,99.99999,
D,4308402M,D0,1836.872,18.4,0.18431,28000999.99999,99.99999,
D,4348403M,D0,48.75347,80000000.48836,50000000.00489,19522999.99999,99.99999,
D,4468402M,D0,80.14,0.802,0.00802,60000999.99999,99.99999,
D,4548402M,D0,17307.22761,173.367,1.73661,72390999.99999,99.99999,
D,4588402M,D0,44.46,0.44685,0.00449,10000999.99999,99.99999,
D,4628402M,D0,154.2,1.542,0.01542,999.99999,99.99999,
D,4808402M,D0,471.154,4.73399,50000000.04756,45000999.99999,99.99999,
D,4848402M,D0,204.642,2.05333,50000000.0206,25000999.99999,99.99999,
D,4968402M,D0,34101.928,341.6,3.4218,72000999.99999,99.99999,
D,4988402M,D0,180.01152,1.803,0.01805,88480999.99999,99.99999,
D,5048402M,D0,99.608,0.99633,0.00996,58000999.99999,99.99999,
D,5128403M,D0,3.8476,0.0385,20000000.00038,52800999.99999,99.99999,
D,5167102F,D0,10.0,0.1,0.001,999.99999,99.99999,
D,5168402M,D0,181.523,1.82821,50000000.01841,20000999.99999,99.99999,
D,5243562F,D0,16.0,0.16,0.0016,999.99999,99.99999,
D,5248402M,D0,1350.032,13.51112,0.13521,92000999.99999,99.99999,
D,5328402M,D0,17.9,0.179,0.00179,999.99999,99.99999,
D,5338402M,D0,17.9,0.179,0.00179,999.99999,99.99999,
D,5488400M,D0,1201.0,12.0355,0.12061,999.99999,99.99999,
D,5540362F,D0,11.015,0.11033,50000000.0011,52000999.99999,99.99999,
D,5548402M,D0,16.96929,0.17034,58000000.0017,99860999.99999,99.99999,
D,5588402M,D0,365.4144,3.66,0.03665,85600999.99999,99.99999,
D,5668402M,D0,16613.5,166.135,1.66135,999.99999,99.99999,
D,5782082F,D0,15.705,0.15762,0.00158,19000999.99999,99.99999,
D,5788262F,D0,140.75,1.41394,0.0142,38000999.99999,99.99999,
D,5788402M,D0,110.719,1.11353,0.01119,87000999.99999,99.99999,
D,5789782F,D0,117.113,1.17499,0.01178,85000999.99999,99.99999,
D,5868402M,D0,2775.0,27.775,0.278,999.99999,99.99999,
D,5908402M,D0,10.0,0.1,0.001,999.99999,99.99999,
D,5988402M,D0,39.57261,60000000.39572,61600000.00395,72616999.99999,99.99999,
D,6008400M,D0,77855.5,779.396,7.80237,999.99999,99.99999,
D,6048402M,D0,37.92,0.38035,0.00381,50000999.99999,99.99999,
D,6088402M,D0,586.66,5.8882,0.05909,80000999.99999,99.99999,
D,6348402M,D0,36.4,0.364,0.00364,999.99999,99.99999,
D,6438402M,D0,980.09844,9.9125,0.10024,1560999.99999,99.99999,
D,6468400M,D0,13538.8,136.238,1.37088,999.99999,99.99999,
D,6548262F,D0,10.0,0.1,0.001,999.99999,99.99999,
D,6548402M,D0,7.85917,0.07889,35000000.00079,19530999.99999,99.99999,
D,6828402M,D0,37.53,0.37557,50000000.00375,85000999.99999,99.99999,
D,6908402M,D0,145.789,1.45789,0.01457,89000999.99999,99.99999,
D,7020362F,D0,8.686,0.08708,50000000.00087,31000999.99999,99.99999,
D,7028402M,D0,13.412,0.13452,50000000.00134,93000999.99999,99.99999,
D,7048400M,D0,253850.0,2540.0,25.415,999.99999,99.99999,
D,7068402M,D0,5705.856,57.15,0.57241,44000999.99999,99.99999,
D,7108262F,D0,229.612,2.31332,50000000.0233,53000999.99999,99.99999,
D,7108402M,D0,181.523,1.82821,50000000.01841,20000999.99999,99.99999,
D,7109782F,D0,191.941,1.92713,0.01934,85000999.99999,99.99999,
D,7288402M,D0,32800.31339,60000328.52878,3.29054,42604999.99999,99.99999,
D,7487102F,D0,10.0,0.1,0.001,999.99999,99.99999,
D,7488402M,D0,181.523,1.82821,50000000.01841,20000999.99999,99.99999,
D,7522082F,D0,15.5,0.15547,0.00155,94000999.99999,99.99999,
D,7525782F,D0,9.764,0.09863,50000000.00099,63000999.99999,99.99999,
D,7528262F,D0,138.975,1.39458,50000000.01399,42000999.99999,99.99999,
D,7528402M,D0,109.288,1.0998,0.01106,72000999.99999,99.99999,
D,7529782F,D0,115.63,1.1597,0.01163,10000999.99999,99.99999,
D,7568262F,D0,11.239,0.11263,0.00112,87000999.99999,99.99999,
D,7568402M,D0,8.841,0.08876,50000000.00089,12000999.99999,99.99999,
D,7569782F,D0,9.347,0.09369,50000000.00093,92000999.99999,99.99999,
D,7648402M,D0,347.5,3.4965,0.03518,999.99999,99.99999,
D,7768402M,D0,22.93052,10000000.23,24300000.0023,69966999.99999,99.99999,
D,7808402M,D0,67.5925,0.67592,50000000.00675,92500999.99999,99.99999,
D,7848402M,D0,36.723,0.36729,50000000.00367,36000999.99999,99.99999,
D,7888403M,D0,31.54,0.31595,0.00316,50000999.99999,99.99999,
D,8008400M,D0,36648.62,367.0,3.67513,80000999.99999,99.99999,
D,8078402M,D0,583.832,5.83832,0.05838,32000999.99999,99.99999,
D,8188402M,D0,493.4,4.9395,0.04945,999.99999,99.99999,
D,8268402M,D0,7.85917,0.07889,35000000.00079,19530999.99999,99.99999,
D,8269782F,D0,8.303,0.08314,50000000.00083,26000999.99999,99.99999,
D,8348402M,D0,26500.0,266.0,2.67,999.99999,99.99999,
D,8408402M,D0,10.0,0.1,0.001,999.99999,99.99999,
D,8588402M,D0,429.0,4.2915,0.04293,999.99999,99.99999,
D,8608402M,D0,128001.3,1280.013,12.80013,999.99999,99.99999,
D,8828402M,D0,27.20792,30000000.27273,89700000.00273,39872999.99999,99.99999,
D,8868402M,D0,2500.0,25.0,0.25,999.99999,99.99999,
D,9018402M,D0,325.13894,40000003.2566,0.03261,81056999.99999,99.99999,
D,9248402M,D0,240.202,2.52844,0.02654,86000999.99999,99.99999,
D,9258402M,D0,225.994,2.25994,0.02259,94000999.99999,99.99999,
D,9288402M,D0,449.40367,50000004.49966,83700000.04505,30000999.99999,99.99999,
D,9298402M,D0,395.49053,70000003.96045,0.03965,99463999.99999,99.99999,
D,9308402M,D0,233.76592,20000002.34164,0.02345,62078999.99999,99.99999,
D,9338402M,D0,33.635,0.33635,0.00336,35000999.99999,99.99999,
D,9348402M,D0,34.947,0.34997,0.0035,47000999.99999,99.99999,
D,9368402M,D0,160.0,1.605,0.0161,999.99999,99.99999,
D,9388402M,D0,4453.988,44.65122,97000000.44762,57940999.99999,99.99999,
D,9418402M,D0,1105.03995,11.067,0.11083,60050999.99999,99.99999,
D,9438402M,D0,638.21923,50000006.3905,0.06398,80765999.99999,99.99999,
D,9448402M,D0,17.0,0.17,0.0017,999.99999,99.99999,
D,9468402M,D0,46.988,0.47211,50000000.00474,35000999.99999,99.99999,
D,9498402M,D0,341.369,3.43523,50000000.03456,78000999.99999,99.99999,
D,9499782F,D0,358.4,3.61911,50000000.03654,23000999.99999,99.99999,
D,9501320F,D0,59.48914,0.59489,14000000.00594,89140999.99999,99.99999,
D,9501740F,D0,13.33333,0.13333,33000000.00133,33330999.99999,99.99999,
D,9508400M,D0,6198.21641,62.239,40000000.62495,84400999.99999,99.99999,
D,9509780F,D0,6559.57,65.5957,0.65595,70000999.99999,99.99999,
D,9518402M,D0,26.882,0.26882,0.00268,82000999.99999,99.99999,
D,9521320F,D0,59.48914,0.59489,14000000.00594,89140999.99999,99.99999,
D,9521740F,D0,13.33333,0.13333,33000000.00133,33330999.99999,99.99999,
D,9528400M,D0,6198.21641,62.239,40000000.62495,84400999.99999,99.99999,
D,9529500F,D0,10.0,0.1,0.001,999.99999,99.99999,
D,9529780F,D0,6559.57,65.5957,0.65595,70000999.99999,99.99999,
D,9531320F,D0,10.82226,0.10822,26000000.00108,22260999.99999,99.99999,
D,9531740F,D0,2.4256,0.02425,60000000.00024,25600999.99999,99.99999,
D,9538400M,D0,1127.57955,11.32251,99000000.11369,24420999.99999,99.99999,
D,9539500F,D0,1.8192,0.01819,20000000.00018,19200999.99999,99.99999,
D,9539520F,D0,1.8192,0.01819,20000000.00018,19200999.99999,99.99999,
D,9539780F,D0,1193.317,11.93317,0.11933,17000999.99999,99.99999,
D,9678402M,D0,274.083,2.74333,0.02745,83000999.99999,99.99999,
D,9688402M,D0,353.02466,80000003.53555,0.0354,85332999.99999,99.99999,
D,9698402M,D0,46609.1557,466.745,4.67398,44300999.99999,99.99999,
D,9718402M,D0,678.6,6.796,0.06806,999.99999,99.99999,
D,9728402M,D0,106.539,1.06539,0.01065,39000999.99999,99.99999,
D,9738402M,D0,9187.11862,92.0092,0.92147,21380999.99999,99.99999,
D,9758402M,D0,18.48087,0.18557,45000000.00186,34030999.99999,99.99999,
D,9759782F,D0,19.5583,0.19558,30000000.00195,58300999.99999,99.99999,
D,9768402M,D0,28554.24,286.0,2.86457,60000999.99999,99.99999,
D,9778402M,D0,18.48087,0.18557,45000000.00186,34030999.99999,99.99999,
D,9779782F,D0,19.5583,0.19558,30000000.00195,58300999.99999,99.99999,
D,9788402M,D0,9.44912,0.09488,28000000.00095,27430999.99999,99.99999,
D,9808402M,D0,412.446,4.12446,0.04124,46000999.99999,99.99999,
D,9818402M,D0,27.04208,80000000.2708,0.00271,17912999.99999,99.99999,
D,9858402M,D0,40.834,0.41131,50000000.00414,29000999.99999,99.99999,
D,9859782F,D0,43.219,0.43343,50000000.00434,68000999.99999,99.99999,
D,9868402M,D0,57.597,0.57951,0.00583,5000999.99999,99.99999,
D,9968402M,D0,449.40367,50000004.49966,83700000.04505,30000999.99999,99.99999,
